,index,Mn,W,In,Max
66,24078.0,0.6000000238418579,0.05000000074505806,0.05000000074505806,0.22083768248558044
67,24079.0,0.550000011920929,0.10000000149011612,0.05000000074505806,0.1691255122423172
68,24080.0,0.5,0.15000000596046448,0.05000000074505806,0.12763914465904236
69,24081.0,0.44999998807907104,0.20000000298023224,0.05000000074505806,0.12223263829946518
70,24082.0,0.4000000059604645,0.25,0.05000000074505806,0.12027760595083237
71,24083.0,0.3499999940395355,0.30000001192092896,0.05000000074505806,0.08645017445087433
72,24085.0,0.30000001192092896,0.3499999940395355,0.05000000074505806,0.056384362280368805
73,24086.0,0.25,0.4000000059604645,0.05000000074505806,0.03412695974111557
74,24087.0,0.20000000298023224,0.44999998807907104,0.05000000074505806,0.05836580693721771
75,24088.0,0.15000000596046448,0.5,0.05000000074505806,0.10607127100229263
