,index,Sb,Nb,Bi,Max
67,49253.0,0.05000000074505806,0.10000000149011612,0.3499999940395355,0.19258703291416168
68,49254.0,0.05000000074505806,0.15000000596046448,0.3499999940395355,0.20136511325836182
69,49255.0,0.05000000074505806,0.20000000298023224,0.3499999940395355,0.21553578972816467
70,49256.0,0.05000000074505806,0.25,0.3499999940395355,0.19650769233703613
71,49258.0,0.05000000074505806,0.30000001192092896,0.3499999940395355,0.19896550476551056
72,49259.0,0.05000000074505806,0.3499999940395355,0.3499999940395355,0.14573237299919128
73,49260.0,0.05000000074505806,0.4000000059604645,0.3499999940395355,0.13692179322242737
74,49261.0,0.05000000074505806,0.44999998807907104,0.3499999940395355,0.11860453337430954
75,49262.0,0.05000000074505806,0.5,0.3499999940395355,0.10294556617736816
76,49263.0,0.05000000074505806,0.550000011920929,0.3499999940395355,0.08359762281179428
